,Unnamed: 0,gameId,playId,nflId,displayName,frameId,time,jerseyNumber,club,playDirection,x,y,s,a,dis,o,dir,event
10869981,89355,2022102700,3806,38557.0,Kevin Zeitler,1,2022-10-27 23:03:40.700000,70.0,BAL,right,91.83,22.82,0.0,0.0,0.0,102.97,321.34,
10869982,89356,2022102700,3806,38557.0,Kevin Zeitler,2,2022-10-27 23:03:40.799999,70.0,BAL,right,91.83,22.83,0.0,0.0,0.01,102.39,323.42,
10869983,89357,2022102700,3806,38557.0,Kevin Zeitler,3,2022-10-27 23:03:40.900000,70.0,BAL,right,91.83,22.83,0.0,0.0,0.0,102.39,322.75,
10869984,89358,2022102700,3806,38557.0,Kevin Zeitler,4,2022-10-27 23:03:41.000000,70.0,BAL,right,91.83,22.83,0.0,0.01,0.0,101.02,338.32,
10869985,89359,2022102700,3806,38557.0,Kevin Zeitler,5,2022-10-27 23:03:41.099999,70.0,BAL,right,91.84,22.82,0.02,0.3,0.01,97.92,104.54,
10869986,89360,2022102700,3806,38557.0,Kevin Zeitler,6,2022-10-27 23:03:41.200000,70.0,BAL,right,91.86,22.82,0.17,1.22,0.02,89.68,105.84,ball_snap
10869987,89361,2022102700,3806,38557.0,Kevin Zeitler,7,2022-10-27 23:03:41.299999,70.0,BAL,right,91.9,22.81,0.38,1.54,0.03,89.68,102.72,
10869988,89362,2022102700,3806,38557.0,Kevin Zeitler,8,2022-10-27 23:03:41.400000,70.0,BAL,right,91.95,22.8,0.59,1.51,0.06,90.48,99.23,
10869989,89363,2022102700,3806,38557.0,Kevin Zeitler,9,2022-10-27 23:03:41.500000,70.0,BAL,right,92.02,22.78,0.79,1.52,0.07,87.51,103.36,
10869990,89364,2022102700,3806,38557.0,Kevin Zeitler,10,2022-10-27 23:03:41.599999,70.0,BAL,right,92.11,22.75,0.92,1.06,0.09,87.51,105.79,
10869991,89365,2022102700,3806,38557.0,Kevin Zeitler,11,2022-10-27 23:03:41.700000,70.0,BAL,right,92.19,22.75,0.96,0.51,0.09,88.79,99.87,
10869992,89366,2022102700,3806,38557.0,Kevin Zeitler,12,2022-10-27 23:03:41.799999,70.0,BAL,right,92.29,22.73,0.98,0.11,0.1,88.79,100.41,
10869993,89367,2022102700,3806,38557.0,Kevin Zeitler,13,2022-10-27 23:03:41.900000,70.0,BAL,right,92.39,22.7,1.01,0.12,0.11,88.79,102.0,
10869994,89368,2022102700,3806,38557.0,Kevin Zeitler,14,2022-10-27 23:03:42.000000,70.0,BAL,right,92.49,22.69,0.99,0.34,0.1,88.79,101.06,
